product_id,name,price_text,price,sold_text,sold_est,rating_text,reviews_text,product_url
626,❤️‍🔥Nectapharma Luminari Astaxanthin แอสตาแซนธิน ต้านอนุมูลอิสระ,฿999.00,999,(2)นนทบุรี,2,,,https://www.lazada.co.th/products/pdp-i5557519024.html
748,🔥ส่งฟรี⚡ ผลิตภัณฑ์เสริมอาหาร Truvitar Astaxanthin Plus Vitamin E แอสต้าแซนธินสารสกัดจากสาหร่ายสีแดง ผสมวิตามินอี ล็อคอายุผิว เลือนริ้วรอย,฿239.00,239,(2)สระบุรี,2,,,https://www.lazada.co.th/products/pdp-i5075597017.html
824,อาร์จินีน - อาหารเสริมเพิ่มฮอร์โมนเทสโทสเตอโรนและเสริมความทนทาน - 30/60/120 แคปซูล,฿85.00,85,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i5812604774.html
876,Smooth Life Astaxanthin สมูทไลฟ์ 30 แคปซูล [FRC],฿699.00,699,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i4706056753.html
935,SOLAURA Asta E IV+ Astaxanthin Gen ใหม่ อาหารเสริมดูแลเรื่องริ้วรอย,฿490.00,490,(2)สมุทรปราการ,2,,,https://www.lazada.co.th/products/pdp-i5801780938.html
943,แอสตาแซนธิน 24 มก. 120 แคปซูล บำรุงระบบเผาผลาญ บำรุงหัวใจและหลอดเลือดและภูมิคุ้มกัน มังสวิรัติ,฿180.05,180.05,(2)China,2,,,https://www.lazada.co.th/products/pdp-i5703110422.html
1010,Omilay Astaxanthin Gummies อาหารเสริมแอสตาแซนธินต่อต้านวัย เสริมสร้างภูมิคุ้มกันและบำรุงผิว รสมะม่วง,฿112.04,112.04,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i5748940002.html
1152,Barrima Astaxanthin Blood Orange Plus บาร์ริม่า แอสตาแซนธิน บลัดออเร้นจ์ พลัส (อาหารเสริมผิวสวย ดูแลริ้วรอย ชะลอวัย) (30 ซอง),"฿1,719.00",1719,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i5067093899.html
1215,ASTAXANTHIN 6MG. (แบรนด์Biocap) แอสต้าแซนธิน 6mg. ผลิตภัณฑ์เสริมอาหาร ไบโอแคป,฿320.00,320,(2)พิษณุโลก,2,,,https://www.lazada.co.th/products/pdp-i5522559840.html
1218,Blackmores Astaxanthin 6 MG Plus แบลคมอร์ส แอสตาแซนธิน 6 มก. พลัส,฿489.00,489,(2)กรุงเทพมหานคร,2,,,https://www.lazada.co.th/products/pdp-i5306167168.html
